site-8i,site-2b,site-8i,site-8j,site-4f,nCr,nFe,nNi,dE/atom,vol-ev,ene-ev
Fe,Cr,Ni,Fe,Ni,2,16,12,0.044846033,352.27471,-222.59143
Fe,Fe,Ni,Fe,Ni,0,18,12,0.005684167,349.256885,-221.388031
Fe,Ni,Ni,Fe,Ni,0,16,14,0.008812733,350.59063,-215.9384
Fe,Cr,Cr,Ni,Cr,14,8,8,0.121363867,341.184109,-245.276973
Fe,Fe,Cr,Ni,Cr,12,10,8,0.107453467,339.394241,-243.31603
Fe,Ni,Cr,Ni,Cr,12,8,10,0.108642367,340.639021,-237.924589
Fe,Cr,Fe,Ni,Cr,6,16,8,0.0655391,349.79335,-237.438696
Fe,Fe,Fe,Ni,Cr,4,18,8,0.067790133,346.100307,-234.99291
Fe,Ni,Fe,Ni,Cr,4,16,10,0.062254333,345.99207,-229.80321
Fe,Cr,Ni,Ni,Cr,6,8,16,0.057476433,341.81278,-216.25748
Fe,Fe,Ni,Ni,Cr,4,10,16,0.0922066,335.48324,-212.83732
Fe,Ni,Ni,Ni,Cr,4,8,18,0.0814608,335.37013,-207.80392
Fe,Cr,Cr,Ni,Fe,10,12,8,0.115757967,341.270011,-240.68864
Fe,Fe,Cr,Ni,Fe,8,14,8,0.0978821,344.199966,-238.846661
Fe,Ni,Cr,Ni,Fe,8,12,10,0.104752,343.70025,-233.28479
Fe,Cr,Fe,Ni,Fe,2,20,8,0.064059533,347.747348,-232.726573
Fe,Fe,Fe,Ni,Fe,0,22,8,0.065576667,350.546458,-230.302804
Fe,Ni,Fe,Ni,Fe,0,20,10,0.0501055,350.460789,-225.411165
Fe,Cr,Ni,Ni,Fe,2,12,16,0.0468792,342.840002,-211.818887
Fe,Fe,Ni,Ni,Fe,0,14,16,0.003772033,345.742957,-210.733847
Fe,Ni,Ni,Ni,Fe,0,12,18,0.012065767,342.790036,-205.129261
Fe,Cr,Cr,Ni,Ni,10,8,12,0.115058033,347.20134,-229.99809
Fe,Fe,Cr,Ni,Ni,8,10,12,0.100541867,345.99775,-228.05532
Fe,Ni,Cr,Ni,Ni,8,8,14,0.1493508,329.095736,-221.235278
Fe,Cr,Fe,Ni,Ni,2,16,12,0.091088367,347.92563,-221.20416
Fe,Fe,Fe,Ni,Ni,0,18,12,0.070242633,348.765529,-219.451277
Fe,Ni,Fe,Ni,Ni,0,16,14,0.0550234,348.909175,-214.55208
Fe,Cr,Ni,Ni,Ni,2,8,20,0.028541833,341.81117,-201.65746
Fe,Fe,Ni,Ni,Ni,0,10,20,-0.0093479,342.41335,-200.415897
Fe,Ni,Ni,Ni,Ni,0,8,22,0.007930033,340.943053,-194.541785
Ni,Cr,Cr,Cr,Cr,22,0,8,0.160229633,345.83546,-253.62402
Ni,Fe,Cr,Cr,Cr,20,2,8,0.1379068,343.53653,-251.91545
Ni,Ni,Cr,Cr,Cr,20,0,10,0.131761533,345.32395,-246.744034
Ni,Cr,Fe,Cr,Cr,14,8,8,0.112878333,341.207713,-245.531539
Ni,Fe,Fe,Cr,Cr,12,10,8,0.0998732,337.572975,-243.543438
Ni,Ni,Fe,Cr,Cr,12,8,10,0.103886767,337.799362,-238.067257
Ni,Cr,Ni,Cr,Cr,14,0,16,0.088798367,339.639762,-224.830842
Ni,Fe,Ni,Cr,Cr,12,2,16,0.072018867,336.303877,-222.955972
Ni,Ni,Ni,Cr,Cr,12,0,18,0.0855878,336.57337,-217.19313
Ni,Cr,Cr,Cr,Fe,18,4,8,0.138899267,344.964266,-249.507421
Ni,Fe,Cr,Cr,Fe,16,6,8,0.1351368,344.4745,-247.24204
Ni,Ni,Cr,Cr,Fe,16,4,10,0.139235167,342.307245,-241.763315
Ni,Cr,Fe,Cr,Fe,10,12,8,0.099187,346.41167,-241.185769
Ni,Fe,Fe,Cr,Fe,8,14,8,0.1075497,342.099561,-238.556633
Ni,Ni,Fe,Cr,Fe,8,12,10,0.098990333,348.782362,-233.45764
Ni,Cr,Ni,Cr,Fe,10,4,16,0.087674333,336.370271,-220.108053
Ni,Fe,Ni,Cr,Fe,8,6,16,0.131352267,327.93695,-216.41946
